,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches
599,Chris Wehan,USA,FWMF,San Jose,24,1994,6,2,186,2.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.8,0.08,0.32,0.4,0.08,0.4,Matches
600,Andrew Wenger,USA,DFFW,Houston Dynamo,27,1990,22,20,1708,19.0,2,1,2,0,0,1,0,0.11,0.05,0.16,0.11,0.16,2.5,2.5,1.3,3.9,0.13,0.07,0.2,0.13,0.2,Matches
601,Andrew Wheeler-Omiunu,USA,MF,Atlanta Utd,23,1994,1,0,17,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
602,Brian White,USA,FW,NY Red Bulls,21,1996,5,2,219,2.4,1,0,1,0,0,0,0,0.41,0.0,0.41,0.41,0.41,1.7,1.7,0.0,1.7,0.68,0.0,0.68,0.68,0.68,Matches
603,Josh Williams,USA,DF,Columbus Crew,29,1988,21,16,1486,16.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,1.7,0.08,0.03,0.1,0.08,0.1,Matches
604,Romario Williams,JAM,FWMF,Atlanta Utd,23,1994,17,0,224,2.5,1,0,1,0,0,4,0,0.4,0.0,0.4,0.4,0.4,1.1,1.1,0.7,1.8,0.46,0.27,0.73,0.46,0.73,Matches
605,Sheanon Williams,USA,DFFW,LA Galaxy,27,1990,8,1,158,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
606,Joe Willis,USA,GK,Houston Dynamo,29,1988,26,26,2340,26.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,Matches
607,Danny Wilson,SCO,DFMF,Colorado Rapids,26,1991,23,22,1935,21.5,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.4,0.01,0.01,0.02,0.01,0.02,Matches
608,Henry Wingo,USA,FWDF,Seattle,22,1995,5,1,148,1.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.17,0.17,0.34,0.17,0.34,Matches
609,Magnus Wolff Eikrem,NOR,FWMF,Seattle,27,1990,15,6,599,6.7,1,1,1,0,0,2,0,0.15,0.15,0.3,0.15,0.3,1.5,1.5,1.3,2.8,0.23,0.2,0.42,0.23,0.42,Matches
610,Chris Wondolowski,USA,FWMF,San Jose,35,1983,34,23,2296,25.5,10,5,7,3,4,3,0,0.39,0.2,0.59,0.27,0.47,9.5,6.3,2.1,8.3,0.37,0.08,0.45,0.25,0.33,Matches
611,Brian Wright,CAN,FWMF,New England,22,1995,10,2,263,2.9,1,0,1,0,0,0,0,0.34,0.0,0.34,0.34,0.34,1.4,1.4,0.1,1.5,0.48,0.02,0.51,0.48,0.51,Matches
612,Bradley Wright-Phillips,ENG,FW,NY Red Bulls,32,1985,32,28,2532,28.1,20,7,20,0,0,7,0,0.71,0.25,0.96,0.71,0.96,14.0,14.0,6.4,20.4,0.5,0.23,0.73,0.5,0.73,Matches
613,Deklan Wynne,NZL,DF,Colorado Rapids,22,1995,25,22,2006,22.3,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.0,0.01,0.02,0.0,0.02,Matches
614,Yoshimar Yotún,PER,MFFW,Orlando City,27,1990,22,22,1969,21.9,4,7,1,3,3,7,1,0.18,0.32,0.5,0.05,0.37,4.1,1.8,5.9,7.7,0.19,0.27,0.46,0.08,0.35,Matches
615,Jackson Yueill,USA,MF,San Jose,20,1997,21,15,1289,14.3,0,2,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14,0.8,0.8,1.4,2.2,0.05,0.1,0.16,0.05,0.16,Matches
616,Wilfried Zahibo,CTA,MF,New England,24,1993,31,22,1941,21.6,4,2,4,0,0,6,0,0.19,0.09,0.28,0.19,0.28,2.2,1.9,1.1,3.0,0.1,0.05,0.15,0.09,0.14,Matches
617,Gyasi Zardes,USA,FW,Columbus Crew,26,1991,33,33,2945,32.7,19,0,16,3,4,3,0,0.58,0.0,0.58,0.49,0.49,17.1,14.1,2.1,16.2,0.52,0.06,0.59,0.43,0.5,Matches
618,Eriq Zavaleta,SLV,DF,Toronto FC,25,1992,21,16,1487,16.5,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.6,0.01,0.02,0.04,0.01,0.04,Matches
619,Reto Ziegler,SUI,DF,FC Dallas,32,1986,29,29,2568,28.5,4,0,2,2,3,3,3,0.14,0.0,0.14,0.07,0.07,2.0,0.5,0.6,1.1,0.07,0.02,0.1,0.02,0.04,Matches
620,Walker Zimmerman,USA,DF,Los Angeles FC,24,1993,26,26,2319,25.8,4,1,4,0,0,4,0,0.16,0.04,0.19,0.16,0.19,2.4,2.4,0.9,3.3,0.1,0.03,0.13,0.1,0.13,Matches
621,Sal Zizzo,USA,DF,Atlanta Utd,30,1987,6,1,161,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.05,0.0,0.05,Matches
622,Graham Zusi,USA,DF,Sporting KC,31,1986,34,34,3060,34.0,2,4,2,0,0,2,0,0.06,0.12,0.18,0.06,0.18,2.8,2.8,6.2,9.1,0.09,0.19,0.27,0.09,0.27,Matches
