,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches
506,Shea Salinas,USA,DF,San Jose,31,1986,25,20,1820,20.2,0,2,0,0,0,3,1,0.0,0.1,0.1,0.0,0.1,0.4,0.4,1.7,2.1,0.02,0.08,0.1,0.02,0.1,Matches
507,Dániel Sallói,HUN,FW,Sporting KC,21,1996,29,26,2286,25.4,11,7,11,0,0,3,1,0.43,0.28,0.71,0.43,0.71,7.1,7.1,4.5,11.7,0.29,0.19,0.48,0.29,0.48,Matches
508,Ilie Sánchez,ESP,MF,Sporting KC,27,1990,34,34,3060,34.0,4,3,0,4,6,6,0,0.12,0.09,0.21,0.0,0.09,5.3,1.5,2.9,4.4,0.16,0.09,0.25,0.05,0.13,Matches
509,Richard Sánchez,MEX,GK,Chicago Fire,23,1994,25,24,2207,24.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
510,James Sands,USA,MF,NYCFC,17,2000,3,3,220,2.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches
511,Lamine Sané,SEN,DF,Orlando City,30,1987,16,15,1372,15.2,1,0,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.0,0.3,0.02,0.0,0.02,0.02,0.02,Matches
512,Harold Santiago Mosquera,COL,FWMF,FC Dallas,22,1995,29,17,1591,17.7,6,4,6,0,0,0,0,0.34,0.23,0.57,0.34,0.57,5.3,5.3,3.6,8.8,0.32,0.21,0.53,0.32,0.53,Matches
513,Pedro Santos,POR,FWMF,Columbus Crew,29,1988,30,29,2206,24.5,1,4,1,0,0,4,1,0.04,0.16,0.2,0.04,0.2,4.0,4.0,5.2,9.1,0.16,0.21,0.37,0.16,0.37,Matches
514,C.J. Sapong,USA,FW,Philadelphia,29,1988,32,29,2307,25.6,4,3,4,0,1,3,0,0.16,0.12,0.27,0.16,0.27,10.1,9.3,2.7,12.0,0.39,0.1,0.5,0.36,0.47,Matches
515,Sebastián Saucedo,USA,FW,Real Salt Lake,21,1997,28,10,1039,11.5,3,2,3,0,0,1,0,0.26,0.17,0.43,0.26,0.43,2.7,2.7,0.9,3.7,0.24,0.08,0.32,0.24,0.32,Matches
516,Gastón Sauro,ARG,DF,Columbus Crew,27,1990,7,6,521,5.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches
517,Jefferson Savarino,VEN,FW,Real Salt Lake,21,1996,32,32,2850,31.7,7,9,7,0,0,2,0,0.22,0.28,0.51,0.22,0.51,5.9,5.9,7.8,13.8,0.19,0.25,0.43,0.19,0.43,Matches
518,Chris Schuler,USA,DF,Orlando City,30,1987,9,8,786,8.7,1,0,1,0,0,3,0,0.11,0.0,0.11,0.11,0.11,0.6,0.6,0.0,0.6,0.06,0.0,0.06,0.06,0.06,Matches
519,Rasmus Schüller,FIN,MFFW,Minnesota Utd,26,1991,31,29,2541,28.2,1,3,1,0,0,5,0,0.04,0.11,0.14,0.04,0.14,1.1,1.1,1.9,3.0,0.04,0.07,0.11,0.04,0.11,Matches
520,Bastian Schweinsteiger,GER,MFDF,Chicago Fire,33,1984,31,30,2723,30.3,4,5,4,0,1,7,0,0.13,0.17,0.3,0.13,0.3,2.7,1.9,2.5,4.4,0.09,0.08,0.17,0.06,0.15,Matches
521,Mark Segbers,USA,DF,New England,21,1996,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
522,Ulises Segura,CRC,MFFW,D.C. United,24,1993,23,14,1293,14.4,2,1,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21,1.9,1.9,1.7,3.6,0.13,0.12,0.25,0.13,0.25,Matches
523,Chris Seitz,USA,GK,Houston Dynamo,30,1987,6,6,540,6.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
524,Philippe Senderos,SUI,DF,Houston Dynamo,32,1985,8,7,607,6.7,4,0,4,0,0,2,0,0.59,0.0,0.59,0.59,0.59,1.0,1.0,0.1,1.1,0.15,0.02,0.16,0.15,0.16,Matches
525,Dillon Serna,USA,MFFW,Colorado Rapids,23,1994,20,10,1191,13.2,1,0,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08,1.3,1.3,0.9,2.2,0.1,0.07,0.17,0.1,0.17,Matches
526,Brek Shea,USA,FWDF,Vancouver,27,1990,28,15,1525,16.9,3,2,3,0,0,3,0,0.18,0.12,0.3,0.18,0.3,2.4,2.4,1.5,3.9,0.14,0.09,0.23,0.14,0.23,Matches
527,Khiry Shelton,USA,FW,Sporting KC,24,1993,20,15,1369,15.2,2,5,2,0,0,2,0,0.13,0.33,0.46,0.13,0.46,4.2,4.2,3.7,7.9,0.3,0.26,0.56,0.29,0.55,Matches
528,Harry Shipp,USA,FW,Seattle,26,1991,19,15,1221,13.6,3,1,3,0,0,1,0,0.22,0.07,0.29,0.22,0.29,2.3,2.3,0.6,2.9,0.17,0.04,0.21,0.17,0.21,Matches
529,Shamit Shome,CAN,MF,Montreal Impact,20,1997,5,2,251,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.15,0.0,0.15,0.15,0.15,Matches
530,Bobby Shuttleworth,USA,GK,Minnesota Utd,30,1987,25,25,2250,25.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
531,Alejandro Silva González,URU,FWMF,Montreal Impact,28,1989,31,27,2362,26.2,5,8,4,1,1,4,0,0.19,0.3,0.5,0.15,0.46,6.3,5.5,6.1,11.6,0.24,0.23,0.47,0.21,0.44,Matches
532,Danilo da Silva,BRA,DF,Los Angeles FC,31,1986,10,9,721,8.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,0.08,0.01,0.09,0.08,0.09,Matches
533,Marcelo Silva,URU,DF,Real Salt Lake,28,1989,18,18,1555,17.3,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,0.03,0.0,0.03,0.03,0.03,Matches
534,Pierre da Silva,USA,FW,Orlando City,19,1998,2,0,51,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
535,Jay Simpson,ENG,FWMF,Philadelphia,29,1988,8,1,164,1.8,2,0,2,0,0,0,0,1.1,0.0,1.1,1.1,1.1,1.6,1.6,0.0,1.6,0.89,0.0,0.89,0.89,0.89,Matches
536,Seth Sinovic,USA,DF,Sporting KC,31,1987,23,19,1648,18.3,0,1,0,0,0,4,1,0.0,0.05,0.05,0.0,0.05,0.3,0.3,0.7,1.0,0.02,0.04,0.06,0.02,0.06,Matches
