,playerName,ballSkill,defence,mental,passing,physical,shooting,goalkeeper
5392,Edgar Costa,73.0,35.0,64.33333333333333,64.33333333333333,73.0,69.125,12.0
5393,António Filipe,12.0,11.666666666666666,38.5,14.666666666666666,44.0,14.25,70.6
5394,Maxim Kanunnikov,71.5,37.0,62.666666666666664,61.666666666666664,79.42857142857143,63.75,11.8
5395,Luca Marrone,70.0,71.66666666666667,67.0,71.66666666666667,63.285714285714285,68.5,5.4
5396,Amara Baby,71.0,62.333333333333336,66.0,67.33333333333333,78.14285714285714,60.375,8.6
5399,Fuentes,62.5,73.0,58.166666666666664,67.0,72.42857142857143,47.75,13.0
5400,Rafał Gikiewicz,18.5,13.333333333333334,32.0,20.666666666666668,39.714285714285715,14.75,72.4
5401,Knowledge Musona,74.5,34.666666666666664,58.166666666666664,66.66666666666667,74.14285714285714,70.375,9.6
5402,Christoph Moritz,72.5,68.66666666666667,69.16666666666667,71.66666666666667,69.0,60.125,12.0
5403,Marco Paixão,70.5,19.333333333333332,62.5,55.333333333333336,70.28571428571429,62.5,10.4
5406,Abdoul Razzagui Camara,74.0,25.333333333333332,59.0,65.66666666666667,77.57142857142857,63.125,13.6
5407,Osmar,55.0,72.0,65.33333333333333,64.33333333333333,59.857142857142854,61.0,11.4
5408,Portillo,72.5,51.333333333333336,63.0,72.0,70.0,61.125,12.8
5409,Dario Dumić,46.5,70.0,56.5,55.0,62.714285714285715,48.875,12.8
5410,Cauê,64.0,71.33333333333333,72.5,59.333333333333336,72.14285714285714,58.375,10.8
5415,Žarko Tomašević,65.0,71.0,64.83333333333333,69.33333333333333,65.57142857142857,60.375,10.2
5416,Vasco Regini,60.0,75.33333333333333,59.0,62.666666666666664,69.14285714285714,42.0,10.2
5417,Beram Kayal,72.0,67.66666666666667,70.5,70.33333333333333,78.0,60.75,9.8
5418,Shaun Hutchinson,56.0,69.66666666666667,59.0,53.333333333333336,68.14285714285714,36.875,11.8
5419,Loris Benito,64.0,69.66666666666667,65.16666666666667,64.33333333333333,74.0,49.375,12.2
5422,Vid Belec,17.0,11.666666666666666,31.166666666666668,21.0,48.0,14.875,70.0
5423,Karl Darlow,19.5,12.666666666666666,30.166666666666668,24.0,58.142857142857146,14.875,70.4
5424,Fabio Pisacane,60.5,71.66666666666667,62.333333333333336,54.333333333333336,72.14285714285714,30.125,13.2
5425,Christopher Trimmel,67.5,68.0,66.33333333333333,68.33333333333333,72.71428571428571,56.875,10.6
5426,Benjamin Jeannot,68.5,21.0,61.166666666666664,58.333333333333336,66.71428571428571,65.5,9.2
5429,Adama Traoré,66.5,67.0,68.66666666666667,68.33333333333333,81.14285714285714,49.75,11.0
5430,Matthieu Saunier,56.5,73.0,56.0,59.666666666666664,61.285714285714285,42.75,11.6
5431,Astrit Ajdarević,74.5,43.0,66.33333333333333,76.0,57.857142857142854,67.5,9.0
5432,Riad Nouri,73.0,27.0,57.833333333333336,68.0,76.28571428571429,61.875,10.8
5433,Mateusz Klich,72.0,49.666666666666664,66.16666666666667,72.33333333333333,64.14285714285714,64.875,12.8
5436,Edgar Prib,73.0,63.333333333333336,67.33333333333333,70.66666666666667,71.71428571428571,65.625,9.0
5437,Mustapha Diallo,63.0,69.0,67.16666666666667,66.66666666666667,63.857142857142854,54.625,11.2
5438,Andreas Luthe,13.0,13.666666666666666,31.666666666666668,19.0,48.42857142857143,15.75,70.0
5439,Marc Mateu,76.0,33.333333333333336,59.666666666666664,74.33333333333333,64.57142857142857,63.75,11.4
5440,Fabián Rinaudo,71.5,72.0,71.16666666666667,67.66666666666667,71.42857142857143,60.375,13.2
5443,Paulinho,74.5,14.333333333333334,64.16666666666667,57.333333333333336,74.14285714285714,67.5,3.0
5444,Vladislav Ignatiev,73.5,69.33333333333333,65.33333333333333,74.0,70.57142857142857,66.5,10.6
5445,Luis Rodríguez,72.0,65.33333333333333,65.33333333333333,67.0,77.85714285714286,58.875,8.2
5446,Lee Jae Sung,45.0,72.33333333333333,59.0,49.0,66.71428571428571,44.625,14.6
5447,Mats Rits,70.5,61.333333333333336,69.33333333333333,70.0,65.28571428571429,60.75,12.2
5450,Shinzo Koroki,72.0,21.0,67.0,57.333333333333336,71.57142857142857,65.625,10.8
5451,Fidel Martínez,77.0,31.666666666666668,64.33333333333333,66.0,74.28571428571429,68.0,11.2
5452,Connor Wickham,68.5,22.333333333333332,59.166666666666664,60.333333333333336,65.71428571428571,68.5,10.4
5453,Felix Kroos,71.0,68.33333333333333,70.16666666666667,64.33333333333333,68.85714285714286,64.5,11.4
5454,Ahmed Elmohamady,70.0,63.0,67.66666666666667,71.33333333333333,75.42857142857143,66.625,9.4
5459,Kian Hansen,60.0,71.33333333333333,66.16666666666667,68.33333333333333,74.28571428571429,49.75,12.0
5460,Fernando Bob,69.0,72.33333333333333,66.5,69.66666666666667,68.0,60.125,9.2
5461,Eugenio Lamanna,21.0,14.0,32.0,30.333333333333332,39.714285714285715,18.375,70.6
5462,Ortuño,70.5,24.0,55.166666666666664,49.333333333333336,62.285714285714285,67.875,13.0
5463,Hervé Bazile,72.0,26.0,56.0,68.0,70.42857142857143,67.5,9.4
5466,Daniel Villalva,76.0,21.333333333333332,61.833333333333336,63.333333333333336,77.28571428571429,67.25,9.0
5467,Danijel Aleksić,73.0,37.666666666666664,57.5,72.0,73.42857142857143,69.125,14.0
5468,Yoann Andreu,70.0,73.33333333333333,63.166666666666664,68.33333333333333,68.42857142857143,35.25,10.6
5469,Laurens De Bock,68.0,73.66666666666667,68.0,66.0,74.85714285714286,56.75,11.0
5470,Graham Zusi,69.5,67.0,71.5,76.33333333333333,72.0,72.125,12.6
5473,Bernard Parker,74.5,22.0,61.0,67.33333333333333,72.85714285714286,70.5,13.4
5474,Guedes,66.5,30.666666666666668,63.833333333333336,55.333333333333336,69.28571428571429,67.125,10.6
5475,Eyong Enoh,61.0,74.33333333333333,65.33333333333333,53.333333333333336,71.85714285714286,35.875,12.6
5476,Mamadou Samassa,15.5,11.666666666666666,30.5,19.666666666666668,49.42857142857143,13.625,70.6
5477,Václav Kadlec,71.0,28.333333333333332,67.66666666666667,57.0,75.71428571428571,64.25,8.2
5480,Maikel van der Werff,56.5,72.0,60.166666666666664,69.66666666666667,62.42857142857143,65.125,9.8
