,playerName,ballSkill,defence,mental,passing,physical,shooting,goalkeeper
3,Lionel Messi,96.5,22.333333333333332,74.5,84.0,80.42857142857143,85.25,10.8
4,Cristiano Ronaldo,92.0,25.333333333333332,77.16666666666667,81.66666666666667,85.57142857142857,87.25,11.6
5,Neymar,95.5,26.0,74.16666666666667,77.33333333333333,79.14285714285714,79.75,11.8
6,Luis Suárez,88.5,37.666666666666664,80.33333333333333,74.66666666666667,81.42857142857143,85.875,30.6
7,Manuel Neuer,39.0,10.333333333333334,49.333333333333336,43.0,57.857142857142854,20.25,91.2
10,De Gea,30.0,15.666666666666666,50.333333333333336,39.333333333333336,55.57142857142857,21.25,88.6
11,Kevin De Bruyne,88.0,49.666666666666664,81.16666666666667,90.0,77.28571428571429,80.125,11.2
12,Robert Lewandowski,87.0,28.666666666666668,77.66666666666667,70.66666666666667,80.42857142857143,85.75,10.2
13,Eden Hazard,93.5,24.666666666666668,74.5,84.33333333333333,82.0,78.875,9.0
14,Toni Kroos,84.0,72.66666666666667,80.33333333333333,89.33333333333333,65.14285714285714,78.875,10.2
17,Mats Hummels,74.5,90.33333333333333,79.5,77.0,67.42857142857143,64.0,8.4
18,Gonzalo Higuaín,84.5,17.333333333333332,68.33333333333333,67.33333333333333,76.85714285714286,80.125,7.8
19,Sergio Ramos,72.5,88.33333333333333,75.66666666666667,72.0,78.42857142857143,69.875,9.2
20,Paulo Dybala,92.5,18.0,69.66666666666667,81.33333333333333,81.57142857142857,84.0,5.2
21,Jan Oblak,14.0,14.666666666666666,43.166666666666664,22.666666666666668,59.142857142857146,13.875,85.6
24,Thibaut Courtois,18.0,15.0,37.833333333333336,27.333333333333332,54.285714285714285,19.75,84.4
25,Luka Modrić,89.0,73.0,80.16666666666667,84.66666666666667,77.14285714285714,73.875,10.4
26,David Silva,89.0,35.333333333333336,76.16666666666667,85.33333333333333,74.42857142857143,72.75,1.0
27,Sergio Agüero,89.0,15.0,73.33333333333333,71.33333333333333,83.28571428571429,82.25,11.8
28,Giorgio Chiellini,57.5,91.33333333333333,70.33333333333333,58.666666666666664,73.85714285714286,53.75,3.0
31,Gianluigi Buffon,27.0,10.666666666666666,46.333333333333336,28.333333333333332,54.142857142857146,19.0,85.0
32,N'Golo Kanté,79.0,83.0,83.83333333333333,78.0,83.71428571428571,58.375,10.8
33,Harry Kane,82.0,38.333333333333336,77.0,78.0,75.28571428571429,81.625,10.8
34,Paul Pogba,88.0,67.33333333333333,81.66666666666667,85.0,79.85714285714286,80.875,4.0
35,Antoine Griezmann,86.5,30.0,74.66666666666667,79.33333333333333,81.71428571428571,81.875,12.6
38,Christian Eriksen,86.5,39.333333333333336,74.66666666666667,87.66666666666667,73.71428571428571,77.125,8.6
39,Thiago,91.0,59.333333333333336,78.5,84.33333333333333,75.85714285714286,76.375,9.2
40,Alexis Sánchez,88.5,36.333333333333336,78.33333333333333,77.66666666666667,84.85714285714286,79.625,12.0
41,Diego Godín,64.5,87.33333333333333,73.83333333333333,68.0,70.14285714285714,55.125,9.8
42,Edinson Cavani,81.0,32.0,79.5,66.0,78.28571428571429,82.625,10.6
47,Gareth Bale,86.0,52.666666666666664,76.5,83.66666666666667,81.71428571428571,85.125,10.4
48,Hugo Lloris,22.0,13.333333333333334,40.5,37.666666666666664,56.285714285714285,16.125,82.6
49,Samir Handanovič,14.0,13.333333333333334,40.833333333333336,27.333333333333332,54.142857142857146,15.25,84.0
50,Mohamed Salah,88.0,40.333333333333336,77.66666666666667,75.33333333333333,84.71428571428571,72.625,12.4
51,Mauro Icardi,78.0,20.666666666666668,68.16666666666667,57.666666666666664,79.0,75.625,8.6
54,Marco Verratti,89.0,79.66666666666667,85.33333333333333,83.66666666666667,72.71428571428571,61.75,12.8
55,James Rodríguez,85.5,37.333333333333336,76.5,85.33333333333333,70.71428571428571,83.25,12.8
56,Lorenzo Insigne,91.0,20.666666666666668,66.0,82.66666666666667,77.57142857142857,73.625,9.0
57,Marc-André ter Stegen,17.5,11.0,46.5,27.666666666666668,51.57142857142857,15.75,86.0
58,Sergio Busquets,81.5,81.66666666666667,84.33333333333333,76.33333333333333,64.85714285714286,61.0,9.6
61,Jordi Alba,81.5,83.66666666666667,77.66666666666667,80.66666666666667,84.71428571428571,66.5,12.0
62,Coutinho,88.5,36.0,70.66666666666667,82.0,78.42857142857143,75.875,9.6
63,Pierre-Emerick Aubameyang,80.5,29.666666666666668,71.16666666666667,72.66666666666667,81.0,79.875,9.6
64,Jérôme Boateng,68.5,88.0,75.66666666666667,74.66666666666667,71.57142857142857,55.25,9.0
65,Marcelo,87.0,83.33333333333333,81.66666666666667,82.66666666666667,78.85714285714286,68.625,7.2
68,Mesut Özil,87.0,19.0,68.0,84.66666666666667,68.14285714285714,72.25,10.0
69,Dries Mertens,90.0,36.666666666666664,72.16666666666667,77.66666666666667,77.85714285714286,73.875,7.8
70,Marek Hamšík,86.5,65.0,79.0,82.66666666666667,73.42857142857143,77.25,9.2
71,Thiago Silva,72.5,87.33333333333333,76.83333333333333,73.33333333333333,76.14285714285714,65.375,9.0
72,Piqué,68.5,86.33333333333333,75.0,72.66666666666667,64.42857142857143,60.875,11.6
75,Arjen Robben,89.5,27.0,71.16666666666667,78.33333333333333,77.57142857142857,80.375,9.8
76,Iniesta,92.0,56.666666666666664,79.83333333333333,85.0,65.85714285714286,69.375,9.0
77,Casemiro,73.5,87.0,81.16666666666667,72.66666666666667,73.0,69.0,13.4
78,Isco,92.5,46.666666666666664,76.5,81.66666666666667,74.85714285714286,75.125,10.2
79,Romelu Lukaku,76.0,29.0,71.16666666666667,74.0,74.42857142857143,79.625,10.8
82,Ciro Immobile,83.0,32.0,73.5,59.333333333333336,76.71428571428571,77.375,9.4
83,Alex Sandro,81.5,82.0,78.66666666666667,79.33333333333333,83.14285714285714,68.5,8.0
84,Thomas Müller,78.0,38.666666666666664,77.66666666666667,76.0,77.0,75.875,10.4
85,Azpilicueta,74.0,88.33333333333333,78.0,80.33333333333333,77.42857142857143,61.625,8.6
86,Leonardo Bonucci,72.0,84.0,75.66666666666667,69.33333333333333,69.85714285714286,64.25,2.6
91,Arturo Vidal,79.5,83.66666666666667,85.33333333333333,80.33333333333333,75.28571428571429,79.125,3.2
92,Miralem Pjanić,87.5,70.0,78.66666666666667,84.66666666666667,73.28571428571429,76.0,8.4
93,Radja Nainggolan,82.5,84.0,84.83333333333333,79.33333333333333,81.0,73.0,11.0
94,Jan Vertonghen,71.5,86.66666666666667,77.33333333333333,73.66666666666667,70.85714285714286,67.875,8.8
95,Ivan Rakitić,85.5,56.666666666666664,76.83333333333333,86.0,64.85714285714286,80.375,10.2
98,Filipe Luís,79.0,85.33333333333333,79.66666666666667,80.33333333333333,75.85714285714286,66.0,9.8
99,Leroy Sané,86.5,31.0,69.0,75.33333333333333,82.71428571428571,75.375,10.4
100,Ederson,30.0,10.666666666666666,49.5,43.666666666666664,57.42857142857143,19.75,84.2
101,Yannick Carrasco,90.0,28.0,65.33333333333333,77.66666666666667,76.85714285714286,74.0,9.8
102,Raheem Sterling,87.0,53.333333333333336,63.333333333333336,75.33333333333333,82.42857142857143,63.75,12.6
105,Roberto Firmino,87.0,44.666666666666664,78.83333333333333,77.66666666666667,81.85714285714286,77.25,8.8
106,Raphaël Varane,67.0,85.0,70.33333333333333,62.333333333333336,71.85714285714286,51.625,10.0
107,Kalidou Koulibaly,60.0,87.0,65.16666666666667,48.0,69.14285714285714,34.125,8.6
108,David Alaba,81.0,80.0,78.5,81.0,80.14285714285714,76.875,10.0
109,Koke,83.0,62.0,77.83333333333333,85.0,74.28571428571429,71.625,10.8
112,Keylor Navas,17.5,13.333333333333334,42.166666666666664,26.0,59.42857142857143,15.25,81.4
113,Kostas Manolas,59.5,88.0,63.833333333333336,49.333333333333336,77.57142857142857,28.0,9.8
114,Bernd Leno,19.0,13.666666666666666,42.166666666666664,26.333333333333332,54.0,13.625,82.2
115,Nicolás Otamendi,59.0,84.66666666666667,73.0,66.33333333333333,71.85714285714286,56.875,9.6
116,Nemanja Matić,78.5,79.33333333333333,80.16666666666667,79.0,69.42857142857143,71.75,11.4
119,Marco Reus,85.5,37.333333333333336,73.0,79.66666666666667,78.0,82.0,12.2
120,İlkay Gündoğan,86.0,62.666666666666664,80.83333333333333,81.66666666666667,72.71428571428571,72.25,9.6
121,Toby Alderweireld,66.0,87.66666666666667,75.5,74.0,68.0,63.625,13.2
122,Ivan Perišić,84.5,44.0,73.16666666666667,79.0,81.42857142857143,78.25,7.6
